Ego,Alter
"Bagguley, Claire L.","Bird, Christine P."
"Bagguley, Claire L.","Burton, John L."
"Bagguley, Claire L.","Carter, Nigel P."
"Bagguley, Claire L.","Corby, Nicole R."
"Bagguley, Claire L.","Durbin, Richard M."
"Bagguley, Claire L.","Grafham, Darren V."
"Bagguley, Claire L.","Hubbard, Tim J.P."
"Bagguley, Claire L.","Hunt, Sarah E."
"Bagguley, Claire L.","Jones, Matthew C."
"Bagguley, Claire L.","Laird, Gavin K."
"Bagguley, Claire L.","Lloyd, David M.L."
"Bagguley, Claire L.","Lloyd, Christine R."
"Bagguley, Claire L.","Matthews, Lucy H."
"Bagguley, Claire L.","Rogers, Jane"
"Bagguley, Claire L.","Scott, Carol E."
"Bagguley, Claire L.","Sehra, Harminder K."
"Bagguley, Claire L.","Skuce, Carl D."
"Bagguley, Claire L.","Steward, Charles A."
"Bagguley, Claire L.","Wall, Melanie"
"Bagguley, Claire L.","Willey, David L."
"Bagguley, Claire L.","Wilming, Laurens G."
"Bagguley, Claire L.","Almeida, Jeff P."
"Bagguley, Claire L.","Bailey, Jonathon"
"Bagguley, Claire L.","Barlow, Karen F."
"Bagguley, Claire L.","Burrill, Wayne D.H."
"Bagguley, Claire L.","Carder, Carol"
"Bagguley, Claire L.","Chapman, Joanne C."
"Bagguley, Claire L.","Clark, Sue Y."
"Bagguley, Claire L.","Clee, Chris M."
"Bagguley, Claire L.","Coulson, Alan R."
"Bagguley, Claire L.","Dhami, Pawandeep D."
"Bagguley, Claire L.","Dunn, Matthew"
"Bagguley, Claire L.","Frankland, John A."
"Bagguley, Claire L.","French, Lisa"
"Bagguley, Claire L.","Griffiths, Coline"
"Bagguley, Claire L.","Heath, Paul D."
"Bagguley, Claire L.","Howden, Philip J."
"Bagguley, Claire L.","Hunt, Adrienne R."
"Bagguley, Claire L.","Kimberley, Andrew M."
"Bagguley, Claire L.","Lawlor, Stephanie"
"Bagguley, Claire L.","Lovell, Jamieson D."
"Bagguley, Claire L.","McLaren, S."
"Bagguley, Claire L.","Milne, Sarah A."
"Bagguley, Claire L.","Pearce, Alex V."
"Bagguley, Claire L.","Phillimore, Benjamin J.C.T."
"Bagguley, Claire L.","Ross, Mark T."
"Bagguley, Claire L.","Smith, Michelle L."
"Bagguley, Claire L.","Sulston, John E."
"Bagguley, Claire L.","Tracey, Alan"
"Bagguley, Claire L.","Tromans, Anthony C."
"Bagguley, Claire L.","Whitehead, Siobhan L."
"Bagguley, Claire L.","Wray, Paul W."
"Bagguley, Claire L.","Ainscough, Rachael"
"Bagguley, Claire L.","Ambrose, Kerrie D."
"Bagguley, Claire L.","Ashwell, Robert I S"
"Bagguley, Claire L.","Bates, Karen N."
"Bagguley, Claire L.","Beasley, Helen"
"Bagguley, Claire L.","Bray-Allen, Sarah P."
"Bagguley, Claire L.","Clegg, Sheila M.M."
"Bagguley, Claire L.","Cobley, Victoria E."
"Bagguley, Claire L.","Garner, Patrick"
"Bagguley, Claire L.","Gilbert, James G.R."
"Bagguley, Claire L.","Hall, Rebekah E."
"Bagguley, Claire L.","Hammond, Sian Austin"
"Bagguley, Claire L.","Hart, Elizabeth A."
"Bagguley, Claire L.","Johnson, David C."
"Bagguley, Claire L.","Johnson, Christopher M."
"Bagguley, Claire L.","Kay, Mike"
"Bagguley, Claire L.","Loveland, Jane E."
"Bagguley, Claire L.","Mashreghi-Mohammadi, Maryam"
"Bagguley, Claire L.","Mclay, Kirsten E."
"Bagguley, Claire L.","McMurray, Amanda A."
"Bagguley, Claire L.","Nickerson, T."
"Bagguley, Claire L.","Peck, A. I."
"Bagguley, Claire L.","Searle, Stephen M.J."
"Bagguley, Claire L.","Shownkeen, Ratna"
"Bagguley, Claire L.","Sycamore, Neil"
"Bagguley, Claire L.","Wallis, Justine M."
"Bagguley, Claire L.","Andrews, T. Daniel"
"Bagguley, Claire L.","Ashurst, Jennifer L."
"Bagguley, Claire L.","Brown, Alex J."
"Bagguley, Claire L.","Burford, Deborah C."
"Bagguley, Claire L.","Clarke, Graham D.Paul"
"Bagguley, Claire L.","Collier, R. E."
"Bagguley, Claire L.","Coville, G. J."
"Bagguley, Claire L.","Earthrowl, Mark E."
"Bagguley, Claire L.","Ellington, A. G."
"Bagguley, Claire L.","Faulkner, Louisa M."
"Bagguley, Claire L.","Frankish, Adam G."
"Bagguley, Claire L.","Garnett, Jane"
"Bagguley, Claire L.","Gribble, Susan M."
"Bagguley, Claire L.","Howe, Kevin Lee"
"Bagguley, Claire L.","Huckle, Elizabeth J."
"Bagguley, Claire L.","Kershaw, Joanne K."
"Bagguley, Claire L.","King, Andrew"
"Bagguley, Claire L.","Leongamornlert, Daniel A."
"Bagguley, Claire L.","Martin, Sancha L."
"Bagguley, Claire L.","Oliver, Karen"
"Bagguley, Claire L.","Pelan, Sarah E."
"Bagguley, Claire L.","Porter, Keith M."
"Bagguley, Claire L.","Sims, Sarah K."
"Bagguley, Claire L.","Banerjee, Ruby K."
"Bagguley, Claire L.","Beare, David M."
"Bagguley, Claire L.","Beasley, Oliver P."
"Bagguley, Claire L.","Brown, Jacqueline Y."
"Bagguley, Claire L.","Davies, Joy R."
"Bagguley, Claire L.","Dunham, Ian"
"Bagguley, Claire L.","Grocock, Russell James"
"Bagguley, Claire L.","Harley, Joanna L."
"Bagguley, Claire L.","Knights, Andrew J."
"Bagguley, Claire L.","Leversha, Margaret A."
"Bagguley, Claire L.","Palmer, Sophie A."
"Bagguley, Claire L.","Plumb, Robert W."
"Bagguley, Claire L.","Rice, Catherine M."
"Bagguley, Claire L.","Swarbreck, David"
"Bagguley, Claire L.","Thorpe, Andrea A."
"Bagguley, Claire L.","Vaudin, Mark D."
"Bagguley, Claire L.","West., Anthony Preston"
"Bailey, Jonathon","Burton, John L."
"Bailey, Jonathon","Hubbard, Tim J.P."
"Bailey, Jonathon","Rogers, Jane"
"Bailey, Jonathon","Barlow, Karen F."
"Bailey, Jonathon","Beck, Stephan R."
"Bailey, Jonathon","Grafham, Darren V."
"Bailey, Jonathon","Jones, Matthew C."
"Bailey, Jonathon","Laird, Gavin K."
"Bailey, Jonathon","Lloyd, Christine R."
"Bailey, Jonathon","Matthews, Lucy H."
"Bailey, Jonathon","McLaren, S."
"Bailey, Jonathon","Phillimore, Benjamin J.C.T."
"Bailey, Jonathon","Scott, Carol E."
"Bailey, Jonathon","Steward, Charles A."
"Bailey, Jonathon","Wall, Melanie"
"Bailey, Jonathon","Willey, David L."
"Bailey, Jonathon","Wilming, Laurens G."
"Bailey, Jonathon","Ainscough, Rachael"
"Bailey, Jonathon","Almeida, Jeff P."
"Bailey, Jonathon","Babbage, Anne K."
"Bailey, Jonathon","Bagguley, Claire L."
"Bailey, Jonathon","Bentley, David R."
"Bailey, Jonathon","Bird, Christine P."
"Bailey, Jonathon","Carter, Nigel P."
"Bailey, Jonathon","Clee, Chris M."
"Bailey, Jonathon","Corby, Nicole R."
"Bailey, Jonathon","Coulson, Alan R."
"Bailey, Jonathon","Durbin, Richard M."
"Bailey, Jonathon","French, Lisa"
"Bailey, Jonathon","Hunt, Sarah E."
"Bailey, Jonathon","Hunt, Adrienne R."
"Bailey, Jonathon","Kimberley, Andrew M."
"Bailey, Jonathon","Lloyd, David M.L."
"Bailey, Jonathon","Sehra, Harminder K."
"Bailey, Jonathon","Sims, Sarah K."
"Bailey, Jonathon","Skuce, Carl D."
"Bailey, Jonathon","Wallis, Justine M."
"Bailey, Jonathon","Burrill, Wayne D.H."
"Bailey, Jonathon","Carder, Carol"
"Bailey, Jonathon","Chapman, Joanne C."
"Bailey, Jonathon","Clark, Sue Y."
"Bailey, Jonathon","Cobley, Victoria E."
"Bailey, Jonathon","Dhami, Pawandeep D."
"Bailey, Jonathon","Dunn, Matthew"
"Bailey, Jonathon","Frankland, John A."
"Bailey, Jonathon","Garner, Patrick"
"Bailey, Jonathon","Gilbert, James G.R."
"Bailey, Jonathon","Griffiths, Coline"
"Bailey, Jonathon","Hall, Rebekah E."
"Bailey, Jonathon","Hammond, Sian Austin"
"Bailey, Jonathon","Hart, Elizabeth A."
"Bailey, Jonathon","Heath, Paul D."
"Bailey, Jonathon","Howden, Philip J."
"Bailey, Jonathon","Johnson, Christopher M."
"Bailey, Jonathon","Kay, Mike"
"Bailey, Jonathon","Lawlor, Stephanie"
"Bailey, Jonathon","Loveland, Jane E."
"Bailey, Jonathon","Lovell, Jamieson D."
"Bailey, Jonathon","Martin, Sancha L."
"Bailey, Jonathon","Mashreghi-Mohammadi, Maryam"
"Bailey, Jonathon","Mclay, Kirsten E."
"Bailey, Jonathon","Milne, Sarah A."
"Bailey, Jonathon","Nickerson, T."
"Bailey, Jonathon","Oliver, Karen"
"Bailey, Jonathon","Pearce, Alex V."
"Bailey, Jonathon","Peck, A. I."
"Bailey, Jonathon","Ross, Mark T."
"Bailey, Jonathon","Searle, Stephen M.J."
"Bailey, Jonathon","Shownkeen, Ratna"
"Bailey, Jonathon","Smith, Michelle L."
"Bailey, Jonathon","Sulston, John E."
"Bailey, Jonathon","Sycamore, Neil"
"Bailey, Jonathon","Tracey, Alan"
"Bailey, Jonathon","Tromans, Anthony C."
"Bailey, Jonathon","Whitehead, Siobhan L."
"Bailey, Jonathon","Wray, Paul W."
"Bailey, Jonathon","Ambrose, Kerrie D."
"Bailey, Jonathon","Ashwell, Robert I S"
"Bailey, Jonathon","Bates, Karen N."
"Bailey, Jonathon","Beasley, Helen"
"Bailey, Jonathon","Bray-Allen, Sarah P."
"Bailey, Jonathon","Brown, Alex J."
"Bailey, Jonathon","Clegg, Sheila M.M."
"Bailey, Jonathon","Collier, R. E."
"Bailey, Jonathon","Coville, G. J."
"Bailey, Jonathon","Earthrowl, Mark E."
"Bailey, Jonathon","Ellington, A. G."
"Bailey, Jonathon","Frankish, Adam G."
"Bailey, Jonathon","Garnett, Jane"
"Bailey, Jonathon","Johnson, David C."
"Bailey, Jonathon","Joy, Ann A."
"Bailey, Jonathon","King, Andrew"
"Bailey, Jonathon","Leongamornlert, Daniel A."
"Bailey, Jonathon","McMurray, Amanda A."
"Bailey, Jonathon","Pelan, Sarah E."
"Bailey, Jonathon","Plumb, Robert W."
"Bailey, Jonathon","Andrews, T. Daniel"
"Bailey, Jonathon","Ashurst, Jennifer L."
"Bailey, Jonathon","Brown, Jacqueline Y."
"Bailey, Jonathon","Burford, Deborah C."
"Bailey, Jonathon","Clamp, MichíÂle E."
"Bailey, Jonathon","Clarke, Graham D.Paul"
"Bailey, Jonathon","Davies, Joy R."
"Bailey, Jonathon","Dunham, Ian"
"Bailey, Jonathon","Faulkner, Louisa M."
"Bailey, Jonathon","Gribble, Susan M."
"Bailey, Jonathon","Harley, Joanna L."
"Bailey, Jonathon","Howe, Kevin Lee"
"Bailey, Jonathon","Huckle, Elizabeth J."
"Bailey, Jonathon","Kershaw, Joanne K."
"Bailey, Jonathon","Porter, Keith M."
"Bailey, Jonathon","Swarbreck, David"
"Bailey, Jonathon","Thomas, Daniel W.U."
"Bailey, Jonathon","West., Anthony Preston"
"Beasley, Helen","Rogers, Jane"
"Beasley, Helen","Lloyd, Christine R."
"Beasley, Helen","Matthews, Lucy H."
"Beasley, Helen","Sims, Sarah K."
"Beasley, Helen","Tracey, Alan"
"Beasley, Helen","Jones, Matthew C."
"Beasley, Helen","Sehra, Harminder K."
"Beasley, Helen","Babbage, Anne K."
"Beasley, Helen","Bird, Christine P."
"Beasley, Helen","Burton, John L."
"Beasley, Helen","Carter, Nigel P."
"Beasley, Helen","Clee, Chris M."
"Beasley, Helen","Corby, Nicole R."
"Beasley, Helen","Dunn, Matthew"
"Beasley, Helen","Grafham, Darren V."
"Beasley, Helen","Griffiths, Coline"
"Beasley, Helen","Heath, Paul D."
"Beasley, Helen","Howden, Philip J."
"Beasley, Helen","Hubbard, Tim J.P."
"Beasley, Helen","Laird, Gavin K."
"Beasley, Helen","Lloyd, David M.L."
"Beasley, Helen","Loveland, Jane E."
"Beasley, Helen","Lovell, Jamieson D."
"Beasley, Helen","McLaren, S."
"Beasley, Helen","Scott, Carol E."
"Beasley, Helen","Searle, Stephen M.J."
"Beasley, Helen","Skuce, Carl D."
"Beasley, Helen","Tromans, Anthony C."
"Beasley, Helen","Whitehead, Siobhan L."
"Beasley, Helen","Willey, David L."
"Beasley, Helen","Wray, Paul W."
"Beasley, Helen","Beck, Stephan R."
"Beasley, Helen","Garner, Patrick"
"Beasley, Helen","Garnett, Jane"
"Beasley, Helen","Hammond, Sian Austin"
"Beasley, Helen","Hart, Elizabeth A."
"Beasley, Helen","Hunt, Adrienne R."
"Beasley, Helen","Johnson, Christopher M."
"Beasley, Helen","Kay, Mike"
"Beasley, Helen","Kimberley, Andrew M."
"Beasley, Helen","Leongamornlert, Daniel A."
"Beasley, Helen","Mashreghi-Mohammadi, Maryam"
"Beasley, Helen","Mclay, Kirsten E."
"Beasley, Helen","Pelan, Sarah E."
"Beasley, Helen","Phillimore, Benjamin J.C.T."
"Beasley, Helen","Smith, Michelle L."
"Beasley, Helen","Sycamore, Neil"
"Beasley, Helen","Ambrose, Kerrie D."
"Beasley, Helen","Ashwell, Robert I S"
"Beasley, Helen","Bagguley, Claire L."
"Beasley, Helen","Banerjee, Ruby K."
"Beasley, Helen","Barlow, Karen F."
"Beasley, Helen","Bentley, David R."
"Beasley, Helen","Bray-Allen, Sarah P."
"Beasley, Helen","Brown, Jacqueline Y."
"Beasley, Helen","Chapman, Joanne C."
"Beasley, Helen","Clark, Sue Y."
"Beasley, Helen","Coulson, Alan R."
"Beasley, Helen","Durbin, Richard M."
"Beasley, Helen","Frankland, John A."
"Beasley, Helen","Glithero, Rebecca J."
"Beasley, Helen","Hall, Rebekah E."
"Beasley, Helen","Howe, Kevin Lee"
"Beasley, Helen","Hunt, Sarah E."
"Beasley, Helen","Lawlor, Stephanie"
"Beasley, Helen","Martin, Sancha L."
"Beasley, Helen","Oliver, Karen"
"Beasley, Helen","Pearce, Alex V."
"Beasley, Helen","Steward, Charles A."
"Beasley, Helen","Wall, Melanie"
"Beasley, Helen","Wilming, Laurens G."
"Beasley, Helen","Ainscough, Rachael"
"Beasley, Helen","Almeida, Jeff P."
"Beasley, Helen","Andrews, T. Daniel"
"Beasley, Helen","Bailey, Jonathon"
"Beasley, Helen","Burford, Deborah C."
"Beasley, Helen","Burrill, Wayne D.H."
"Beasley, Helen","Carder, Carol"
"Beasley, Helen","Clarke, Graham D.Paul"
"Beasley, Helen","Dhami, Pawandeep D."
"Beasley, Helen","Earthrowl, Mark E."
"Beasley, Helen","Faulkner, Louisa M."
"Beasley, Helen","Frankish, Adam G."
"Beasley, Helen","French, Lisa"
"Beasley, Helen","Gilbert, James G.R."
"Beasley, Helen","Gribble, Susan M."
"Beasley, Helen","Harley, Joanna L."
"Beasley, Helen","Johnson, David C."
"Beasley, Helen","Milne, Sarah A."
"Beasley, Helen","Nickerson, T."
"Beasley, Helen","Peck, A. I."
"Beasley, Helen","Porter, Keith M."
"Beasley, Helen","Quail, Michael A."
"Beasley, Helen","Ross, Mark T."
"Beasley, Helen","Shownkeen, Ratna"
"Beasley, Helen","Sulston, John E."
"Beasley, Helen","Ashurst, Jennifer L."
"Beasley, Helen","Bates, Karen N."
"Beasley, Helen","Baxter, Simon W."
"Beasley, Helen","Brown, Alex J."
"Beasley, Helen","Clark, Richard C."
"Beasley, Helen","Clegg, Sheila M.M."
"Beasley, Helen","Cobley, Victoria E."
"Beasley, Helen","Davies, Joy R."
"Beasley, Helen","Dunham, Ian"
"Beasley, Helen","Grocock, Russell James"
"Beasley, Helen","Harrison, Elliot S I"
"Beasley, Helen","Harrow, Jennifer L."
"Beasley, Helen","Huckle, Elizabeth J."
"Beasley, Helen","Humphray, Sean J."
"Beasley, Helen","Kershaw, Joanne K."
"Beasley, Helen","Langford, Cordelia J."
"Beasley, Helen","McMurray, Amanda A."
"Beasley, Helen","Palmer, Sophie A."
"Beasley, Helen","Pandian, Richard D."
"Beasley, Helen","Swarbreck, David"
"Beasley, Helen","Wallis, Justine M."
"Beasley, Helen","West., Anthony Preston"
"Beasley, Helen","White, Simon S."
"Bethel, Graeme","Dunham, Ian"
"Bethel, Graeme","Bentley, David R."
"Bethel, Graeme","Rogers, Jane"
"Bethel, Graeme","Scott, Carol E."
"Bethel, Graeme","Beck, Stephan R."
"Bethel, Graeme","Carder, Carol"
"Bethel, Graeme","Carter, Nigel P."
"Bethel, Graeme","Clee, Chris M."
"Bethel, Graeme","Cobley, Victoria E."
"Bethel, Graeme","Dunham, Andrew"
"Bethel, Graeme","Durbin, Richard M."
"Bethel, Graeme","French, Lisa"
"Bethel, Graeme","Gregory, Simon G."
"Bethel, Graeme","Hunt, Sarah E."
"Bethel, Graeme","Laird, Gavin K."
"Bethel, Graeme","Lawlor, Stephanie"
"Bethel, Graeme","McLaren, S."
"Bethel, Graeme","Ross, Mark T."
"Bethel, Graeme","Sulston, John E."
"Bird, Christine P.","Rogers, Jane"
"Bird, Christine P.","Carter, Nigel P."
"Bird, Christine P.","Jones, Matthew C."
"Bird, Christine P.","Burton, John L."
"Bird, Christine P.","Willey, David L."
"Bird, Christine P.","Clee, Chris M."
"Bird, Christine P.","Grafham, Darren V."
"Bird, Christine P.","Mclay, Kirsten E."
"Bird, Christine P.","Ross, Mark T."
"Bird, Christine P.","Bentley, David R."
"Bird, Christine P.","Hubbard, Tim J.P."
"Bird, Christine P.","Hunt, Sarah E."
"Bird, Christine P.","Matthews, Lucy H."
"Bird, Christine P.","Scott, Carol E."
"Bird, Christine P.","Sims, Sarah K."
"Bird, Christine P.","Whitehead, Siobhan L."
"Bird, Christine P.","Babbage, Anne K."
"Bird, Christine P.","Corby, Nicole R."
"Bird, Christine P.","Hunt, Adrienne R."
"Bird, Christine P.","Laird, Gavin K."
"Bird, Christine P.","Lloyd, David M.L."
"Bird, Christine P.","Lloyd, Christine R."
"Bird, Christine P.","McLaren, S."
"Bird, Christine P.","Sehra, Harminder K."
"Bird, Christine P.","Skuce, Carl D."
"Bird, Christine P.","Dunn, Matthew"
"Bird, Christine P.","Griffiths, Coline"
"Bird, Christine P.","Heath, Paul D."
"Bird, Christine P.","Howden, Philip J."
"Bird, Christine P.","Kimberley, Andrew M."
"Bird, Christine P.","Lovell, Jamieson D."
"Bird, Christine P.","Phillimore, Benjamin J.C.T."
"Bird, Christine P.","Smith, Michelle L."
"Bird, Christine P.","Tracey, Alan"
"Bird, Christine P.","Tromans, Anthony C."
"Bird, Christine P.","Wray, Paul W."
"Bird, Christine P.","Bagguley, Claire L."
"Bird, Christine P.","Beasley, Helen"
"Bird, Christine P.","Beck, Stephan R."
"Bird, Christine P.","Coulson, Alan R."
"Bird, Christine P.","Dermitzakis, Emmanouil T T."
"Bird, Christine P.","Dhami, Pawandeep D."
"Bird, Christine P.","Durbin, Richard M."
"Bird, Christine P.","Garner, Patrick"
"Bird, Christine P.","Hall, Rebekah E."
"Bird, Christine P.","Hammond, Sian Austin"
"Bird, Christine P.","Johnson, Christopher M."
"Bird, Christine P.","Kay, Mike"
"Bird, Christine P.","Loveland, Jane E."
"Bird, Christine P.","Mashreghi-Mohammadi, Maryam"
"Bird, Christine P.","Plumb, Robert W."
"Bird, Christine P.","Searle, Stephen M.J."
"Bird, Christine P.","Steward, Charles A."
"Bird, Christine P.","Sycamore, Neil"
"Bird, Christine P.","Wall, Melanie"
"Bird, Christine P.","Wilming, Laurens G."
"Bird, Christine P.","Almeida, Jeff P."
"Bird, Christine P.","Ambrose, Kerrie D."
"Bird, Christine P.","Bailey, Jonathon"
"Bird, Christine P.","Barlow, Karen F."
"Bird, Christine P.","Burrill, Wayne D.H."
"Bird, Christine P.","Carder, Carol"
"Bird, Christine P.","Chapman, Joanne C."
"Bird, Christine P.","Clark, Sue Y."
"Bird, Christine P.","Deloukas, Panos"
"Bird, Christine P.","Frankland, John A."
"Bird, Christine P.","French, Lisa"
"Bird, Christine P.","Garnett, Jane"
"Bird, Christine P.","Gilbert, James G.R."
"Bird, Christine P.","Lawlor, Stephanie"
"Bird, Christine P.","Leongamornlert, Daniel A."
"Bird, Christine P.","Martin, Sancha L."
"Bird, Christine P.","Milne, Sarah A."
"Bird, Christine P.","Oliver, Karen"
"Bird, Christine P.","Pearce, Alex V."
"Bird, Christine P.","Pelan, Sarah E."
"Bird, Christine P.","Shownkeen, Ratna"
"Bird, Christine P.","Stranger, Barbara E."
"Bird, Christine P.","Sulston, John E."
"Bird, Christine P.","Ainscough, Rachael"
"Bird, Christine P.","Ashwell, Robert I S"
"Bird, Christine P.","Banerjee, Ruby K."
"Bird, Christine P.","Bates, Karen N."
"Bird, Christine P.","Bray-Allen, Sarah P."
"Bird, Christine P.","Brown, Jacqueline Y."
"Bird, Christine P.","Clegg, Sheila M.M."
"Bird, Christine P.","Cobley, Victoria E."
"Bird, Christine P.","Frankish, Adam G."
"Bird, Christine P.","Harley, Joanna L."
"Bird, Christine P.","Hart, Elizabeth A."
"Bird, Christine P.","Johnson, David C."
"Bird, Christine P.","McMurray, Amanda A."
"Bird, Christine P.","Mullikin, James C."
"Bird, Christine P.","Nickerson, T."
"Bird, Christine P.","Peck, A. I."
"Bird, Christine P.","Wallis, Justine M."
"Bird, Christine P.","Wilson, Richard K."
"Bird, Christine P.","Andrews, T. Daniel"
"Bird, Christine P.","Ashurst, Jennifer L."
"Bird, Christine P.","Brown, Alex J."
"Bird, Christine P.","Burford, Deborah C."
"Bird, Christine P.","Clarke, Graham D.Paul"
"Bird, Christine P.","Collier, R. E."
"Bird, Christine P.","Coville, G. J."
"Bird, Christine P.","Dunham, Ian"
"Bird, Christine P.","Earthrowl, Mark E."
"Bird, Christine P.","Ellington, A. G."
"Bird, Christine P.","Faulkner, Louisa M."
"Bird, Christine P.","Gibbs, Richard A.L."
"Bird, Christine P.","Gribble, Susan M."
"Bird, Christine P.","Griffiths, Mark N.D."
"Bird, Christine P.","Howe, Kevin Lee"
"Bird, Christine P.","Huckle, Elizabeth J."
"Bird, Christine P.","Humphray, Sean J."
"Bird, Christine P.","Kershaw, Joanne K."
"Bird, Christine P.","King, Andrew"
"Bird, Christine P.","Muzny, Donna Marie"
"Bird, Christine P.","Palmer, Sophie A."
"Bird, Christine P.","Porter, Keith M."
"Bird, Christine P.","Sodergren, Erica J."
"Bird, Christine P.","Swarbreck, David"
"Bird, Christine P.","Thomas, Daryl J."
"Bird, Christine P.","Weinstock, George M."
"Bird, Christine P.","Beare, David M."
"Bird, Christine P.","Beasley, Oliver P."
"Bird, Christine P.","Clamp, MichíÂle E."
"Bird, Christine P.","Clark, Graham"
"Bird, Christine P.","Collins, John E."
"Bird, Christine P.","Davies, Joy R."
"Bird, Christine P.","De Jong, Pieter J."
"Bird, Christine P.","Fulton, Lucinda L."
"Bird, Christine P.","Glithero, Rebecca J."
"Bird, Christine P.","Grocock, Russell James"
"Bird, Christine P.","Gwilliam, Rhian G."
"Bird, Christine P.","Harrison, Elliot S I"
"Bird, Christine P.","Harrow, Jennifer L."
"Bird, Christine P.","Knights, Andrew J."
"Bird, Christine P.","Langford, Cordelia J."
"Bird, Christine P.","Leversha, Margaret A."
"Bird, Christine P.","Matthews, Nicholas S.W."
"Bird, Christine P.","McVean, Gil"
"Bird, Christine P.","Pandian, Richard D."
"Bird, Christine P.","Rice, Catherine M."
"Bird, Christine P.","Thorpe, Andrea A."
"Bird, Christine P.","Vaudin, Mark D."
"Bird, Christine P.","West., Anthony Preston"
"Bird, Christine P.","Wheeler, David A."
"Bird, Christine P.","White, Simon S."
"Bray-Allen, Sarah P.","Kay, Mike"
"Bray-Allen, Sarah P.","Rogers, Jane"
"Bray-Allen, Sarah P.","Mclay, Kirsten E."
"Bray-Allen, Sarah P.","Ambrose, Kerrie D."
"Bray-Allen, Sarah P.","Ashwell, Robert I S"
"Bray-Allen, Sarah P.","Babbage, Anne K."
"Bray-Allen, Sarah P.","Bagguley, Claire L."
"Bray-Allen, Sarah P.","Beasley, Helen"
"Bray-Allen, Sarah P.","Beck, Stephan R."
"Bray-Allen, Sarah P.","Bentley, David R."
"Bray-Allen, Sarah P.","Bird, Christine P."
"Bray-Allen, Sarah P.","Burton, John L."
"Bray-Allen, Sarah P.","Carter, Nigel P."
"Bray-Allen, Sarah P.","Chapman, Joanne C."
"Bray-Allen, Sarah P.","Clark, Sue Y."
"Bray-Allen, Sarah P.","Clee, Chris M."
"Bray-Allen, Sarah P.","Corby, Nicole R."
"Bray-Allen, Sarah P.","Coulson, Alan R."
"Bray-Allen, Sarah P.","Dunn, Matthew"
"Bray-Allen, Sarah P.","Durbin, Richard M."
"Bray-Allen, Sarah P.","Frankland, John A."
"Bray-Allen, Sarah P.","Grafham, Darren V."
"Bray-Allen, Sarah P.","Griffiths, Coline"
"Bray-Allen, Sarah P.","Hart, Elizabeth A."
"Bray-Allen, Sarah P.","Heath, Paul D."
"Bray-Allen, Sarah P.","Howden, Philip J."
"Bray-Allen, Sarah P.","Hubbard, Tim J.P."
"Bray-Allen, Sarah P.","Hunt, Sarah E."
"Bray-Allen, Sarah P.","Jones, Matthew C."
"Bray-Allen, Sarah P.","Laird, Gavin K."
"Bray-Allen, Sarah P.","Lawlor, Stephanie"
"Bray-Allen, Sarah P.","Lloyd, David M.L."
"Bray-Allen, Sarah P.","Lloyd, Christine R."
"Bray-Allen, Sarah P.","Loveland, Jane E."
"Bray-Allen, Sarah P.","Lovell, Jamieson D."
"Bray-Allen, Sarah P.","Matthews, Lucy H."
"Bray-Allen, Sarah P.","McLaren, S."
"Bray-Allen, Sarah P.","Pearce, Alex V."
"Bray-Allen, Sarah P.","Scott, Carol E."
"Bray-Allen, Sarah P.","Searle, Stephen M.J."
"Bray-Allen, Sarah P.","Sehra, Harminder K."
"Bray-Allen, Sarah P.","Shownkeen, Ratna"
"Bray-Allen, Sarah P.","Skuce, Carl D."
"Bray-Allen, Sarah P.","Steward, Charles A."
"Bray-Allen, Sarah P.","Tracey, Alan"
"Bray-Allen, Sarah P.","Tromans, Anthony C."
"Bray-Allen, Sarah P.","Wall, Melanie"
"Bray-Allen, Sarah P.","Whitehead, Siobhan L."
"Bray-Allen, Sarah P.","Willey, David L."
"Bray-Allen, Sarah P.","Wilming, Laurens G."
"Bray-Allen, Sarah P.","Wray, Paul W."
"Bray-Allen, Sarah P.","Ainscough, Rachael"
"Bray-Allen, Sarah P.","Almeida, Jeff P."
"Bray-Allen, Sarah P.","Andrews, T. Daniel"
"Bray-Allen, Sarah P.","Bailey, Jonathon"
"Bray-Allen, Sarah P.","Barlow, Karen F."
"Bray-Allen, Sarah P.","Burford, Deborah C."
"Bray-Allen, Sarah P.","Burrill, Wayne D.H."
"Bray-Allen, Sarah P.","Carder, Carol"
"Bray-Allen, Sarah P.","Clarke, Graham D.Paul"
"Bray-Allen, Sarah P.","Dhami, Pawandeep D."
"Bray-Allen, Sarah P.","Earthrowl, Mark E."
"Bray-Allen, Sarah P.","Faulkner, Louisa M."
"Bray-Allen, Sarah P.","Frankish, Adam G."
"Bray-Allen, Sarah P.","French, Lisa"
"Bray-Allen, Sarah P.","Garner, Patrick"
"Bray-Allen, Sarah P.","Garnett, Jane"
"Bray-Allen, Sarah P.","Gribble, Susan M."
"Bray-Allen, Sarah P.","Hammond, Sian Austin"
"Bray-Allen, Sarah P.","Howe, Kevin Lee"
"Bray-Allen, Sarah P.","Hunt, Adrienne R."
"Bray-Allen, Sarah P.","Johnson, David C."
"Bray-Allen, Sarah P.","Johnson, Christopher M."
"Bray-Allen, Sarah P.","Kimberley, Andrew M."
"Bray-Allen, Sarah P.","Leongamornlert, Daniel A."
"Bray-Allen, Sarah P.","Mashreghi-Mohammadi, Maryam"
"Bray-Allen, Sarah P.","Milne, Sarah A."
